side,page,route,api,archetype,phase
Admin,Admin Login,/admin/login,POST /api/v1/admin/auth/login,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Admin Login,/admin/login,POST /api/v1/admin/auth/mfa/verify,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,MFA Challenge,/admin/mfa,POST /api/v1/admin/auth/mfa/verify,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Forgot / Reset Password,/admin/forgot-password,POST /api/v1/admin/auth/password/request,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Forgot / Reset Password,/admin/forgot-password,POST /api/v1/admin/auth/password/reset,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Admin Sessions & Devices,/admin/settings/sessions,GET /api/v1/admin/me/sessions,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Admin Sessions & Devices,/admin/settings/sessions,DELETE /api/v1/admin/me/sessions/{id},DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Executive Dashboard,/admin,GET /api/v1/admin/dashboard/summary,DASHBOARD,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Executive Dashboard,/admin,GET /api/v1/admin/dashboard/timeseries,DASHBOARD,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,NOC Live Operations,/admin/noc,GET /api/v1/admin/noc/summary,LIVE_MONITOR,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,NOC Live Operations,/admin/noc,GET /api/v1/admin/noc/stream,LIVE_MONITOR,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,System Health,/admin/system/health,GET /api/v1/admin/system/health,LIVE_MONITOR,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Alarm Center,/admin/alarms,GET /api/v1/admin/alarms,LIST_TABLE,"P12 — Observability, Security Hardening, Backup & High Availability"
