side,group,page,route,archetype,phase,template_file,feature_count,api_count
Admin,Access & Identity,Admin Login,/admin/login,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation",04_ADMIN_PAGES/001_admin-login.md,6,2
Admin,Access & Identity,MFA Challenge,/admin/mfa,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation",04_ADMIN_PAGES/002_mfa-challenge.md,5,1
Admin,Access & Identity,Forgot / Reset Password,/admin/forgot-password,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation",04_ADMIN_PAGES/003_forgot-reset-password.md,5,2
Admin,Access & Identity,Admin Sessions & Devices,/admin/settings/sessions,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability",04_ADMIN_PAGES/004_admin-sessions-devices.md,5,2
Admin,Command Center,Executive Dashboard,/admin,DASHBOARD,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/005_executive-dashboard.md,10,2
Admin,Command Center,NOC Live Operations,/admin/noc,LIVE_MONITOR,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/006_noc-live-operations.md,10,2
Admin,Command Center,System Health,/admin/system/health,LIVE_MONITOR,"P12 — Observability, Security Hardening, Backup & High Availability",04_ADMIN_PAGES/007_system-health.md,9,1
Admin,Command Center,Alarm Center,/admin/alarms,LIST_TABLE,"P12 — Observability, Security Hardening, Backup & High Availability",04_ADMIN_PAGES/008_alarm-center.md,7,2
Admin,Customers & Accounts,Customer Directory,/admin/customers,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/009_customer-directory.md,7,2
Admin,Customers & Accounts,Create Customer Wizard,/admin/customers/new,WIZARD,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/010_create-customer-wizard.md,9,1
Admin,Customers & Accounts,Customer Overview,/admin/customers/{customerId},DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/011_customer-overview.md,4,1
Admin,Customers & Accounts,Customer Account Settings,/admin/customers/{customerId}/account,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/012_customer-account-settings.md,12,2
Admin,Customers & Accounts,Customer Balance & Adjustments,/admin/customers/{customerId}/balance,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/013_customer-balance-adjustments.md,10,2
Admin,Customers & Accounts,Customer Packages,/admin/customers/{customerId}/packages,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows",04_ADMIN_PAGES/014_customer-packages.md,9,2
Admin,Customers & Accounts,Customer Authorizations,/admin/customers/{customerId}/authorizations,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/015_customer-authorizations.md,10,2
Admin,Customers & Accounts,Agent & Subaccount Tree,/admin/customers/{customerId}/subaccounts,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations",04_ADMIN_PAGES/016_agent-subaccount-tree.md,8,1
